"puntoVenta,importe,cantidad,temperatura"
"5","892719","7813","41"
"11","369636","4059","23"
"8","133216","3861","13"
"9","946413","2472","-6"
"6","17070","29","32"
"5","496192","5007","-3"
"4","967808","4536","28"
"13","931101","6107","26"
"7","490164","4802","13"
"4","41549","4662","-1"
"18","281298","7772","28"
"1","633126","9934","-12"
"4","845300","3200","40"
"14","394085","8395","6"
"23","261956","2553","34"
"3","653922","5035","12"
"17","702639","6554","46"
"13","220000","9829","11"
"18","519903","7051","0"
"17","904387","2121","50"
"19","322256","9208","-7"
"23","570710","9113","-10"
"16","521885","3660","-10"
"16","635504","4330","-4"
"4","351699","3077","48"
"23","836164","5762","41"
"13","94152","3081","-11"
"11","141697","7979","-8"
"14","756527","8653","50"
"23","754429","133","32"
"17","880530","4787","-8"
"7","365501","3858","4"
"3","883688","5883","-6"
"14","475063","5991","50"
"1","798304","2304","18"
"10","5015","7577","-13"
"12","941429","9313","28"
"9","706702","6567","29"
"10","293281","2136","31"
"19","65531","7749","18"
"19","145998","6031","41"
"13","891472","2832","32"
"8","697457","1831","4"
"7","821581","2341","-12"
"3","981931","5663","-3"
"22","193577","544","23"
"21","125981","9789","42"
"21","152340","9002","-7"
"1","50977","2586","27"
"16","184771","2672","19"
"12","644548","9496","22"
"13","528432","2043","38"
"3","69903","7562","-12"
"2","405898","6489","21"
"1","195961","6706","6"
"1","576526","2591","34"
"5","549613","8688","8"
"15","369680","6673","-12"
"5","902008","4571","-9"
"5","568637","4653","-10"
"8","781890","3336","5"
"6","681806","9878","18"
"8","759334","4315","28"
"19","310144","3717","29"
"18","203252","4626","26"
"7","616870","6276","29"
"4","590133","7187","19"
"23","418493","6209","-15"
"10","202355","3387","49"
"5","234782","9394","-12"
"15","390972","1822","5"
"2","757893","6796","-7"
"22","49619","2065","29"
"2","740787","6185","34"
"10","536607","4706","0"
"9","947080","5448","2"
"22","539015","7095","13"
"1","632163","8466","25"
"4","626424","7031","29"
"15","680140","9151","15"
"17","692374","9749","-13"
"6","298966","329","7"
"21","639563","1345","46"
"21","614005","7999","5"
"15","510144","6313","-6"
"11","98461","5062","0"
"23","433375","7230","10"
"8","175735","1954","-5"
"7","93265","9868","40"
"3","298477","311","19"
"1","728227","5281","29"
"17","549407","453","48"
"23","439131","8555","14"
"19","516987","3084","24"
"8","855512","519","2"
"18","679114","3643","7"
"9","876990","1311","-1"
"13","566997","2087","-3"
"21","467910","7223","-4"
"12","245327","5141","-2"
"5","743802","3522","31"
"19","763441","5621","42"
"7","31620","8445","37"
"6","360088","1848","45"
"4","508841","1125","-4"
"13","941508","5686","-12"
"18","77336","9632","-11"
"5","953336","7691","8"
"12","796564","1490","20"
"17","6589","1191","35"
"8","363722","7177","-6"
"13","410773","8855","7"
"23","536597","9407","-8"
"1","14198","1761","38"
"21","540804","2948","20"
"10","404184","975","49"
"11","218380","8232","-11"
"17","577010","1620","11"
"18","337487","9510","10"
"12","600455","9449","37"
"8","316575","2713","31"
"7","685818","6360","38"
"10","52624","5903","13"
"10","527314","2008","37"
"22","118191","5760","22"
"10","594384","1016","0"
"8","83986","1083","-2"
"20","412103","7722","43"
"8","990290","5718","-4"
"18","756877","134","9"
"1","761686","3979","48"
"20","203419","2396","48"
"2","83449","1473","5"
"19","24994","1820","-9"
"2","38364","1998","50"
"7","646191","2305","11"
"13","72868","4946","41"
"2","110223","6832","17"
"20","453455","386","41"
"19","249804","6858","17"
"5","578386","6122","43"
"3","275757","5308","27"
"3","808495","3515","16"
"12","815373","6725","-4"
"4","943524","3367","13"
"7","231471","7530","-10"
"5","170865","7558","-10"
"8","228125","6347","31"
"17","165664","6917","-4"
"18","528906","5018","8"
"22","658482","3508","43"
"2","960186","7273","6"
"17","735781","9919","44"
"3","492725","7492","-8"
"4","218246","1063","41"
"5","136284","9915","2"
"15","85167","9947","50"
"4","294497","4658","2"
"10","217570","168","14"
"12","614439","90","49"
"13","950613","5034","7"
"15","904282","8798","11"
"18","468212","7021","24"
"2","616402","4441","35"
"4","101840","2696","35"
"17","819032","3156","43"
"5","890510","4501","3"
"17","628031","8944","31"
"6","953188","8598","-5"
"14","117693","1745","18"
"18","669125","2685","-11"
"8","348031","4939","3"
"1","323269","3574","23"
"9","723453","3781","-15"
"21","897999","896","16"
"9","956756","1919","9"
"22","403453","5824","37"
"19","356176","2157","29"
"19","78325","8486","3"
"4","195853","1935","16"
"4","333485","9839","31"
"1","815819","4479","23"
"8","414939","1362","5"
"19","475716","5614","19"
"8","452137","2482","18"
"18","860585","9744","22"
"13","605060","4696","-7"
"20","998088","6676","20"
"18","342452","63","7"
"22","191413","9816","37"
"2","203186","1898","46"
"9","72790","1709","6"
"18","411377","8216","4"
"17","937774","7908","-9"
"22","451772","6734","39"
"7","669225","8651","-3"
"15","145163","5717","22"
"20","380666","1096","17"
"22","691067","4400","32"
"14","390422","1175","-13"
"3","787184","4564","21"
"17","847952","1313","48"
"5","224299","46","38"
"18","831674","6224","-12"
"16","742378","187","1"
"3","105684","7212","35"
"5","322070","7573","2"
"10","7711","2891","-9"
"19","757382","9300","11"
"2","287130","5157","-11"
"7","283851","2972","1"
"6","988661","1997","-9"
"19","223722","7767","-9"
"22","756605","7935","35"
"21","145655","8199","22"
"23","468056","7541","-4"
"18","26347","8577","7"
"4","506748","5723","-5"
"5","428600","5245","29"
"9","576724","6617","5"
"10","197479","4758","35"
"4","219742","7935","-8"
"18","761565","593","3"
"18","259643","5847","-4"
"4","863398","140","32"
"14","684776","3648","10"
"23","662150","1136","6"
"11","947863","9147","19"
"9","800531","2496","22"
"21","798282","5910","-7"
"4","381271","7400","33"
"20","703987","8300","21"
"19","447282","5522","-15"
"1","708445","2845","20"
"2","169271","120","9"
"17","9840","2008","17"
"10","826306","5526","25"
"12","142130","4653","-13"
"13","39001","2949","7"
"3","267324","4642","-7"
"2","420348","2792","8"
"14","643917","6869","45"
"8","744393","2703","-9"
"8","28688","5560","30"
"17","110216","2592","43"
"16","985637","9560","-8"
"12","652337","4953","16"
"18","788477","6247","30"
"23","226696","3589","13"
"16","623268","2388","18"
"12","61138","1790","15"
"19","294477","8650","26"
"6","996411","718","31"
"5","198489","1941","18"
"20","559773","8373","8"
"9","288","6535","-7"
"22","625511","690","44"
"17","770833","3660","46"
"20","978685","1670","-13"
"15","44512","3991","39"
"17","745822","1335","27"
"17","632748","5369","43"
"3","244655","3683","0"
"2","740036","4115","35"
"10","137883","7183","39"
"13","299753","370","16"
"18","730718","9855","37"
"22","564674","1012","23"
"22","921527","5384","48"
"7","58582","9488","27"
"8","567435","8985","2"
"8","850267","7561","0"
"21","109677","4916","17"
"20","165581","8857","4"
"16","250444","6485","39"
"11","302298","8803","45"
"20","87307","3165","5"
"14","503854","9372","-10"
"9","352699","6808","31"
"19","889844","796","-13"
"8","82758","4077","-10"
"6","609464","2506","-15"
"23","689297","2649","42"
"4","451712","5665","0"
"3","869002","4511","39"
"5","27773","5256","1"
"9","349657","642","16"
"7","578520","4452","35"
"4","625","447","3"
"2","275913","1089","19"
"14","928763","4081","32"
"13","612908","1632","44"
"15","423388","4269","10"
"3","199989","8404","-1"
"8","638881","3806","34"
"11","755771","3333","-14"
"8","283469","1680","7"
"20","333866","5400","6"
"9","599764","2520","-6"
"8","802133","4759","5"
"14","794246","4035","49"
"3","264864","1260","50"
"9","431404","1944","36"
"9","745607","4429","13"
"5","100196","6211","9"
"4","575386","2839","40"
"11","887015","6751","25"
"7","528147","7675","19"
"11","530747","1201","16"
"20","610155","1906","28"
"1","610694","3391","-14"
"1","363477","5876","-12"
"16","610042","6173","19"
"7","537876","8207","34"
"14","328014","662","18"
"4","500118","3369","-5"
"21","412026","1326","7"
"2","756855","8200","-8"
"10","879652","7331","11"
"20","460184","8541","32"
"1","843920","2518","29"
"15","446126","6713","20"
"17","768843","1242","45"
"12","428520","6673","6"
"13","378657","1776","10"
"15","61206","9846","0"
"10","480972","6292","-6"
"4","937459","3794","31"
"11","625272","895","33"
"6","61012","6855","41"
"19","141072","6711","-7"
"7","505319","1454","18"
"20","253494","4074","33"
"9","632639","9347","47"
"21","915601","1653","38"
"1","289017","1929","9"
"4","578396","2265","23"
"17","502949","4981","31"
"8","146239","2242","2"
"6","910824","8235","41"
"10","227537","5107","18"
"13","224751","9195","38"
"18","527744","996","50"
"21","726697","2800","-3"
"21","452104","8725","-7"
"19","636490","7817","47"
"15","950819","9664","46"
"20","46443","6667","37"
"3","387036","2999","-1"
"1","310582","7202","-1"
"22","690811","4374","-14"
"21","926576","1290","49"
"16","676005","737","25"
"23","515565","8213","32"
"23","531537","8533","6"
"22","116849","4597","24"
"23","385208","176","-11"
"19","356136","335","9"
"16","472241","4804","18"
"14","177357","5438","36"
"16","522880","4371","-8"
"13","570102","8745","49"
"6","979525","3007","15"
"13","460846","7489","34"
"1","388657","6634","-9"
"2","873508","7293","33"
"2","54168","396","-3"
"21","644065","9313","39"
"23","818373","4398","-2"
"21","418275","7837","7"
"4","769702","8849","4"
"18","237939","4797","15"
"21","39675","9343","28"
"8","176411","8628","-7"
"10","507781","1736","44"
"13","249105","9304","50"
"21","891882","3625","34"
"11","137608","7834","-7"
"14","603285","1176","23"
"19","601323","7161","28"
"12","84081","531","4"
"8","586517","6950","40"
"16","532872","1997","24"
"16","219786","585","23"
"13","578750","6903","34"
"9","339033","4514","11"
"16","270915","5144","-5"
"20","63012","2438","45"
"10","181768","1106","43"
"1","504645","5054","25"
"6","293800","2196","-4"
"7","82017","5250","26"
"16","188741","407","27"
"7","689918","5934","41"
"14","70645","8130","8"
"11","795118","7323","28"
"17","804878","2530","39"
"10","643516","2033","26"
"8","149035","9331","46"
"21","960856","1145","45"
"14","534140","2036","8"
"4","677968","611","32"
"23","892815","2334","14"
"5","403675","1208","40"
"3","482697","7156","37"
"3","571946","7134","13"
"21","71689","2155","41"
"3","209721","1289","6"
"19","613916","8110","3"
"20","590133","1518","1"
"13","876016","6425","-4"
"12","325944","6371","16"
"19","637800","1811","-14"
"2","476872","769","3"
"23","68704","8440","16"
"3","592973","9417","-14"
"6","207610","3184","-3"
"14","823841","7485","50"
"22","618124","668","22"
"10","5633","3127","48"
"4","152407","9097","34"
"23","394152","2427","38"
"2","175151","9312","14"
"21","221408","1357","-4"
"9","792544","4018","43"
"17","641128","5371","10"
"9","746108","249","-9"
"23","736947","4725","6"
"7","961547","5943","36"
"5","23843","2305","7"
"20","435201","9011","11"
"10","715936","3944","20"
"21","360857","2447","-3"
"4","839808","9987","-6"
"18","241299","734","-7"
"15","702273","9941","45"
"22","464873","7878","10"
"17","56453","8552","24"
"6","760505","7672","30"
"3","636655","3914","34"
"9","485981","3356","47"
"8","406967","8260","4"
"5","529767","3493","41"
"10","498282","198","49"
"6","486101","7998","-10"
"16","167970","5125","-9"
"18","684074","2280","7"
"20","607833","3806","-6"
"22","17997","7173","14"
"22","232802","8336","10"
"23","463045","8340","40"
"17","388299","1517","15"
"22","217426","3195","43"
"23","436615","9912","27"
"4","708091","9533","10"
"21","294741","8431","36"
"12","80934","6554","43"
"15","886827","2275","25"
"12","452585","7670","37"
"23","995242","8568","10"
"5","305448","3231","-9"
"20","797443","3470","32"
"9","597311","2108","-13"
"10","212542","4236","11"
"19","990836","8723","45"
"18","774415","1727","24"
"11","139074","1625","15"
"5","442815","78","38"
"5","560759","2385","31"
"19","681194","1409","15"
"4","198793","4960","17"
"17","613025","5056","20"
"20","964033","2234","18"
"10","338535","5229","4"
"13","560369","4297","28"
"15","420211","479","17"
"16","863392","4853","2"
"14","872235","9756","26"
"3","601048","9755","5"
"7","911069","2442","2"
"19","284309","5208","50"
"14","828662","4141","18"
"9","646106","5452","38"
"15","715364","5094","20"
"23","780639","4972","44"
"19","139014","3457","20"
"19","406746","4148","-11"
"10","827182","8421","13"
"11","215864","7015","31"
"13","784536","3228","46"
"19","344046","3090","11"
"9","386175","7873","37"
"8","544351","9856","43"
"22","720829","8633","5"
"21","645567","1074","2"
"19","458816","735","15"
"1","592597","2184","-13"
"5","783121","2151","-8"
"11","88808","7666","-1"
"13","819646","299","19"
"10","840481","9070","-15"
"18","861071","897","31"
"16","161343","9179","49"
"17","68012","5206","15"
"15","36039","6711","46"
"3","456282","7585","1"
"13","152152","3897","-13"
"18","255081","2438","41"
"9","938529","2345","33"
"6","900252","4625","-11"
"12","592504","1111","45"
"10","886215","3289","-2"
"18","80985","5607","0"
"2","627157","3304","-4"
"1","590590","90","28"
"9","116393","4545","34"
"15","171776","3007","48"
"21","310149","9185","45"
"17","551272","4587","16"
"10","719126","8851","-4"
"1","547523","5809","-12"
"16","166088","8227","48"
"18","986108","8645","42"
"1","3156","6370","48"
"13","568677","8521","22"
"17","828265","7711","43"
"21","667868","5028","46"
"13","228714","3935","-13"
"12","369721","1840","10"
"4","552146","9937","-2"
"2","953044","273","26"
"7","919946","9734","35"
"3","652303","6427","-11"
"5","240157","325","14"
"10","110441","405","14"
"7","220078","7126","45"
"12","725218","1933","13"
"7","127015","8250","2"
"8","159984","3371","10"
"14","115516","8142","47"
"22","248177","9860","-15"
"13","945829","9828","1"
"14","366755","8788","-5"
"8","569625","6478","43"
"2","666987","3285","21"
"21","845157","5193","46"
"18","955651","8457","31"
"18","650017","9501","33"
"8","833192","415","12"
"16","810674","3298","15"
"17","103140","4037","19"
"1","198630","2472","28"
"15","117018","4815","-5"
"15","491367","2751","45"
"10","567964","244","1"
"11","575236","9578","42"
"22","428139","9230","27"
"4","995593","1508","15"
"10","181827","6137","-12"
"5","433449","8510","34"
"3","740856","4818","40"
"9","981416","3431","7"
"19","882164","7723","8"
"15","851254","3009","2"
"8","802382","743","27"
"11","951815","196","35"
"15","684749","4718","-10"
"2","143883","9704","-3"
"6","933662","8754","45"
"22","29729","8608","38"
"9","829410","1484","2"
"16","535773","8905","29"
"23","634713","4101","49"
"7","320512","548","0"
"14","759689","4993","37"
"21","319278","7696","30"
"8","703432","9151","0"
"11","371653","4273","31"
"20","811606","793","19"
"6","676636","6863","-12"
"7","431644","2518","22"
"18","787774","4251","21"
"9","574222","922","9"
"1","858675","2548","35"
"5","728018","5548","10"
"20","995038","7022","-11"
"8","881472","3528","36"
"11","68563","3381","9"
"14","758355","7534","3"
"12","414777","5944","28"
"13","695446","233","2"
"4","142199","1641","36"
"11","886353","4794","10"
"13","481413","1581","36"
"1","55804","9377","36"
"6","985788","1108","2"
"23","644978","1153","13"
"6","406634","483","49"
"20","80705","2128","19"
"18","483098","6467","4"
"2","273128","2856","-13"
"18","517612","8945","33"
"9","723502","488","12"
"21","352842","2672","32"
"12","920999","4263","26"
"4","173477","2403","43"
"8","50798","5238","37"
"12","349993","1536","4"
"9","654589","7785","27"
"4","554678","871","34"
"1","249669","587","34"
"12","782367","6388","26"
"9","988179","9680","49"
"1","890734","8192","17"
"14","236515","9938","14"
"21","38081","8568","36"
"3","713138","1947","22"
"6","51687","6075","34"
"2","538713","2797","36"
"15","582929","6662","-4"
"9","415843","3413","8"
"8","270911","2552","-7"
"5","783525","2593","36"
"12","317582","8151","11"
"10","643058","9606","33"
"19","872398","7614","29"
"10","506067","1680","6"
"9","864122","3441","-12"
"14","478295","5975","-6"
"22","158600","3657","49"
"2","187089","4255","41"
"17","468391","6667","29"
"14","625675","1199","14"
"1","330188","5776","0"
"3","442267","2958","42"
"17","254573","6680","43"
"11","517138","1030","8"
"7","839660","8646","44"
"5","382504","6068","34"
"7","841473","4443","30"
"3","409126","5867","-8"
"9","856998","819","-12"
"2","650","7114","37"
"4","564055","4863","-13"
"11","680144","7509","49"
"17","759767","53","-8"
"22","609842","4873","48"
"10","270717","4805","11"
"21","123754","2716","47"
"3","632524","8251","1"
"20","611034","7242","10"
"17","191364","0","-13"
"1","885293","1517","-15"
"4","453916","8866","22"
"15","151741","6460","34"
"10","472321","948","28"
"13","198711","8791","35"
"14","562774","5107","28"
"1","224181","1111","38"
"17","774767","4635","-4"
"2","772961","7932","12"
"9","896315","657","3"
"22","902727","5135","-15"
"16","721738","2105","17"
"1","973434","8166","0"
"22","73834","8921","31"
"17","718205","9297","29"
"18","142821","6783","50"
"18","200183","4001","28"
"9","380200","6289","46"
"23","792370","948","34"
"12","730214","4770","41"
"22","665520","8261","-11"
"12","739379","5957","-11"
"6","740475","8246","7"
"8","541904","5592","-4"
"6","457764","2996","16"
"15","585037","6064","48"
"18","760144","1537","-13"
"23","139274","3974","46"
"13","732100","9450","46"
"1","717270","3929","18"
"21","972542","4831","-14"
"9","893582","9117","18"
"21","60518","9604","11"
"20","961634","6984","35"
"7","423630","8305","2"
"23","823675","3307","16"
"17","366500","6947","-7"
"1","693331","7281","0"
"19","918218","9646","25"
"14","587217","5636","33"
"9","298902","4248","25"
"9","28164","4138","-1"
"5","275969","5894","-13"
"12","539602","3744","32"
"6","988607","3345","34"
"5","146094","4503","38"
"17","372507","6040","20"
"20","106263","9242","-10"
"14","527745","3947","37"
"12","774112","6243","9"
"22","981425","8102","49"
"2","88061","2363","-5"
"22","89092","6194","37"
"4","48669","4543","18"
"4","945145","4269","19"
"13","567145","4811","49"
"17","410533","4428","-8"
"8","118205","9514","49"
"12","83475","5645","20"
"2","247526","6784","-4"
"7","194607","6470","40"
"23","45365","1711","3"
"15","423966","625","6"
"11","388222","3177","31"
"8","367841","1760","16"
"12","925139","9019","8"
"6","360551","4382","33"
"21","448111","1052","46"
"3","615605","8098","19"
"14","635452","5391","-1"
"14","946093","3992","40"
"5","627629","3015","12"
"12","813305","3447","-7"
"10","916060","3611","33"
"17","44235","7972","23"
"8","712969","3976","-4"
"11","108945","7484","46"
"22","113778","7402","44"
"14","777931","7913","13"
"17","10932","3156","44"
"23","385813","3509","-3"
"19","689054","9663","46"
"8","88620","7153","13"
"19","675638","3844","-7"
"17","505176","1044","37"
"22","887918","1539","48"
"13","673534","7350","35"
"19","153182","7265","41"
"11","784526","9842","2"
"17","811510","5368","34"
"9","598702","9197","14"
"19","438198","7621","-1"
"16","591979","2939","45"
"7","488785","1327","30"
"16","859932","6238","-3"
"23","792089","6077","-12"
"5","617633","513","42"
"19","72730","5365","34"
"8","178248","2141","3"
"16","135172","3338","47"
"19","624265","6209","17"
"19","752622","8660","-5"
"8","330753","5508","7"
"14","622133","7559","21"
"4","163251","8596","4"
"15","830375","7332","11"
"3","69102","5298","45"
"14","896082","3617","40"
"7","282648","7264","19"
"5","166844","8970","-8"
"15","82968","2968","47"
"19","813041","4838","24"
"6","136523","46","49"
"12","166121","9811","14"
"17","168602","502","-7"
"13","103761","1845","-12"
"5","394539","5613","20"
"6","155711","5206","43"
"2","719709","3087","-9"
"6","744534","6721","-9"
"23","704268","1000","28"
"19","377216","2558","31"
"16","551027","3846","38"
"5","535166","6956","42"
"16","238111","4116","8"
"21","11557","5707","-4"
"2","606394","3770","26"
"14","340332","5991","13"
"20","697371","7340","-8"
"13","536552","2511","1"
"1","606932","623","5"
"13","436534","8881","39"
"6","622942","6247","50"
"21","516573","7782","33"
"14","739667","2952","14"
"5","102894","3148","-6"
"19","561093","3396","21"
"16","654915","1628","24"
"14","611941","6809","1"
"17","395054","352","7"
"2","600937","1455","1"
"15","717029","1297","46"
"12","896242","804","-14"
"14","336064","3853","21"
"15","281744","2821","49"
"20","951067","3034","-3"
"1","68054","9748","8"
"18","68180","6060","2"
"5","320111","6399","43"
"17","281374","7251","18"
"22","274930","2259","10"
"19","459620","2284","-7"
"18","370905","3273","18"
"18","26761","2452","-11"
"3","770049","6923","-10"
"9","588751","7150","14"
"22","29435","5781","10"
"4","635070","876","31"
"17","58445","7675","-10"
"8","447436","9778","12"
"9","641293","5992","-13"
"18","602434","3318","50"
"21","14678","6329","16"
"11","66259","3855","-4"
"9","668470","2203","-7"
"23","281204","7518","13"
"9","527324","1313","46"
"14","974626","5351","35"
"14","280634","4832","10"
"13","520299","1635","13"
"5","963373","5505","27"
"10","257929","9947","0"
"13","411448","7550","33"
"19","747782","3708","16"
"17","89469","2572","32"
"22","43446","2565","48"
"12","431234","3986","18"
"18","248964","2729","49"
"5","187588","4440","24"
"8","95345","9582","26"
"4","298572","5865","28"
"14","143590","8589","24"
"10","104777","2080","29"
"2","186230","4001","47"
"7","528194","447","10"
"10","834972","2462","31"
"21","654715","460","50"
"1","200016","5500","26"
"11","103016","3810","48"
"2","285414","971","9"
"13","622915","4444","11"
"18","527806","3490","7"
"4","353932","6576","40"
"19","138983","9316","-7"
"20","288492","4591","21"
"4","676969","443","42"
"16","713015","2791","34"
"17","351807","2981","26"
"12","265065","340","-9"
"21","648732","1855","1"
"3","603591","7833","41"
"7","64932","1768","13"
"17","195198","3598","-10"
"23","423568","2380","29"
"23","975610","5759","45"
"14","659157","9500","11"
"8","554699","5633","-15"
"15","939712","4645","5"
"7","644357","8374","36"
"4","73986","9194","-13"
"8","122002","1299","-2"
"12","419909","8157","-9"
"18","164062","6450","-9"
"14","422101","3387","25"
"4","568277","5700","39"
"2","347696","7508","-11"
"6","933500","4743","-6"
"1","428735","8947","46"
"23","457678","9751","0"
"4","218855","2919","22"
"12","946386","4347","-10"
"4","200718","2067","42"
"4","107066","5671","-4"
"15","255013","7446","27"
"23","155132","3485","46"
"22","337164","209","24"
"16","75983","8947","44"
"6","619805","4693","-15"
"15","447974","2583","25"
"22","168695","4057","19"
"10","84136","5905","44"
"21","779809","4777","16"
"14","941968","8073","22"
"13","455804","7247","-14"
"1","373516","6471","-8"
"16","130161","1652","-14"
"7","216220","4794","11"
"23","756084","8716","13"
"18","939742","7122","29"
"11","578568","5019","-9"
"20","926106","4492","47"
"5","997119","825","13"
"23","34419","3975","50"
"20","781214","396","4"
"14","341926","342","35"
"11","812520","806","46"
"12","115563","9632","36"
"19","130151","7378","23"
"16","14593","6742","41"
"2","296686","1231","17"
"11","457487","1205","-10"
"9","807298","7544","46"
"3","216915","7502","10"
"19","129149","7067","4"
"11","215224","8911","30"
"16","867239","9773","0"
"17","673826","6842","2"
"4","377526","8375","26"
"18","101559","719","37"
"13","508457","9177","16"
"12","19790","2755","37"
"23","45689","2051","11"
"7","895625","6719","2"
"12","791712","6059","-11"
"19","137103","8284","25"
"15","657864","5101","49"
"10","239743","2777","-1"
"10","30461","9212","49"
"23","88711","6888","19"
"8","108535","7333","44"
"16","392006","6266","36"
"1","114312","1487","47"
"21","490453","9656","46"
"17","289256","7639","9"
"21","74785","8741","-9"
"12","153410","9688","7"
"8","824040","9961","-15"
"10","768599","4316","17"
"17","591380","9348","-4"
"23","969850","9199","11"
"10","902486","9520","3"
"9","984659","4178","41"
"7","52880","1488","13"
"23","821958","5433","1"
"2","92524","1475","45"
"16","549622","4133","10"
"8","351895","1358","16"
"3","504615","6337","13"
"22","666247","6883","13"
"7","428120","1171","-13"
"3","818586","1188","31"
"7","818467","1148","34"
"9","749024","4109","2"
"19","394494","8357","46"
"11","522859","2730","10"
"17","395926","7234","29"
"12","528366","7978","7"
"23","804391","3133","49"
"17","513420","1137","-11"
"16","840369","6516","17"
"5","717620","7596","-5"
"18","798223","9961","24"
"4","951905","8574","10"
"15","943579","9017","0"
"6","397184","7269","40"
"12","123330","4774","41"
"12","190934","8038","44"
"11","549863","145","6"
"3","996016","7347","3"
"19","397624","110","22"
"8","144365","1308","-5"
"14","871290","2723","42"
"12","810342","2899","0"
"8","404460","6270","-3"
"9","749749","9125","12"
"20","266724","3192","29"
"14","762920","2084","20"
"6","919612","4368","35"
"14","713119","8544","16"
"15","594449","5140","17"
"8","509647","4660","45"
"21","417399","5539","11"
"14","208201","1335","-15"
"14","885013","3621","43"
"11","647074","8118","-12"
"14","120177","9119","21"
"1","930348","3315","7"
"16","500372","9885","23"
"3","112905","6960","10"
"22","612023","7431","21"
"12","411027","426","-1"
"17","821093","2324","-6"
"9","513548","4353","37"
"21","492650","1138","16"
"22","624368","2330","0"
"17","650216","4000","-8"
"16","838947","685","39"
"17","335488","2945","-15"
"4","684335","7749","39"
"22","797600","899","18"
"5","84040","8978","24"
"3","122276","2115","45"
"8","905728","6929","28"
"12","943912","1050","19"
"20","664551","8708","-12"
"4","515113","4630","26"
"9","568549","1547","21"
"3","698590","8117","12"
"7","709281","6201","24"
"2","885868","7114","16"
"2","254813","2722","27"
"22","817278","9502","29"
"21","568881","8848","-2"
"11","601023","3416","41"
"5","596214","9822","8"
"13","953891","9504","7"
"14","427004","7028","42"
"5","178369","1818","13"
"12","586721","6884","41"
"6","765593","6620","28"
"22","712992","439","-10"
"3","376331","6366","37"
"17","839757","4334","6"
"10","654875","2826","2"
"7","374824","2837","12"
"18","970549","8865","34"
"19","584003","3946","42"
"8","953755","152","40"
"9","144978","8127","34"
"1","935606","3902","0"
"18","331691","8977","50"
"6","22691","3871","19"
"14","220256","3516","37"
"7","644267","5397","16"
"12","330543","7235","18"
"7","963936","2653","19"
"6","330105","2835","18"
"7","823955","5194","-5"
"20","803750","6575","11"
"8","874903","1094","48"
"23","644092","3036","-4"
"6","925392","2367","40"
"17","914094","493","39"
"11","39825","3098","43"
"15","181349","217","26"
"5","806403","4038","26"
"22","792818","8086","9"
"22","324387","2443","-1"
"12","70561","7401","10"
"18","723610","6206","-7"
"1","891707","1929","48"
"1","721682","1365","-5"
"7","641420","5329","13"
"5","164352","9472","6"
"13","414555","7398","19"
"7","299846","4020","-12"
"7","214252","2844","49"
"17","549272","2151","7"
"4","317878","7882","20"
"7","834574","5701","20"
"19","291322","7312","36"
"18","994211","6301","24"
"20","384906","6197","3"
"14","522608","1776","43"
"15","355405","5682","29"
"18","754888","7785","-12"
"10","294894","7595","5"
"1","825098","6948","8"
"13","360804","9197","23"
"7","758642","7864","19"
"23","137456","8606","9"
"11","51217","9283","26"
"10","467885","9509","24"
"5","916730","5240","23"
"5","437405","2554","-5"
"16","400798","6378","-4"
"23","572496","6486","23"
"21","833626","2461","-7"
"16","298707","7770","36"
"8","203888","5616","41"
"2","947393","9044","39"
"8","941714","5826","31"
"12","226788","6470","-12"
"22","734728","4969","5"
"2","46448","3006","28"
"14","29190","3","-11"
"8","36399","4288","-12"
"14","746298","9299","-12"
"21","220192","9900","4"
"6","875846","7081","4"
"7","308144","5716","-15"
"17","820305","5818","11"
"10","437654","1553","8"
"1","48800","3214","-3"
"10","578467","6013","24"
"9","753949","1785","-1"
"2","79442","4688","7"
"16","711429","3377","32"
"16","384063","1908","-11"
"5","968352","7620","-12"
"17","117371","1172","4"
"6","828465","1329","-10"
"19","667634","2732","25"
"19","311154","5714","-6"
"18","308991","5812","-5"
"3","193480","306","37"
"11","985089","6799","2"
"17","961682","352","34"
"4","672687","31","-3"
"7","616815","5822","3"
"19","99597","5234","28"
"2","576939","1511","37"
"3","191597","5542","10"
"7","816394","8467","44"
"12","155950","4487","-7"
"21","181598","1693","-15"
"18","143991","9545","21"
"16","773256","4430","28"
"13","566505","5994","32"
"1","389737","9972","36"
"20","226253","6405","47"
"6","788859","3584","8"
"4","961390","7954","39"
"15","871077","7349","-2"
"18","408790","1446","26"
"8","183364","1121","40"
"4","100219","964","7"
"13","544848","5097","43"
"10","111630","9310","28"
"1","520369","6479","28"
"19","823074","8439","35"
"9","136047","9246","-9"
"5","353210","1554","23"
"23","951892","3484","18"
"14","10505","5018","23"
"20","462915","4070","42"
"17","901087","422","18"
"7","417810","8286","13"
"10","594930","2766","43"
"22","996713","9286","42"
"14","868787","5435","48"
"15","555619","6215","12"
"3","809954","9223","6"
"12","117256","7683","47"
"16","837888","6879","48"
"1","166484","2998","19"
"20","286255","1186","11"
"22","574359","4978","36"
"22","928160","6865","4"
"18","579100","2003","1"
"23","31116","4808","50"
"4","662749","9735","0"
"19","302374","8079","8"
"5","549892","2790","-1"
"4","438064","7886","37"
"10","314737","3067","25"
"21","527419","9467","24"
"12","418910","3636","34"
"10","891516","7790","9"
"3","605501","8822","13"
"20","245008","8563","17"
